1836,"Flexible plastic ruler, 30cm/12"".",70 x 15 ,,"4 x 31,5 x 0,1 cm",PVC
1837,Silicone ear plugs.,25 x 15,,"4,5 x 3,2 x 2,7 cm",PP / Silicone
1838,Neoprene zipped water resistant bag. ,60 x 15,,5 x 74 x 3 cm,Plastic / Neoprene / Rubber
1840,Plastic computer lamp,28 x 28,,"10,7 x 5,9 x 10,3 cm",ABS / Steel
1842,Plastic piggy bank. ,30 x 20,,"7,3 x 9 x 7 cm",PVC
1855,Plastic three digit combination lock.,30 x 10,,"ø 1,7 x 6,3 cm",ABS / Iron
1861,Plastic key holder and shopping trolley coin. ,18 dia,,"5,9 x 3 x 0,2 cm",PP
1877,PVC bag which can be sealed. ,120 x 110,,ø 15 x 32 cm,Plastic / Nylon / PVC 0.36mm
1886,Reed diffuser. ,n/a,,"ø 3,4 x 18 cm",Glass / Reed
1906,Piggy bank made of plaster,n/a,,11 x 8 x 8 cm,Aluminium / Wood / Horsehair / Aquarelle paint / Dolomite
1921,Fleece travel blanket ,100 x 50,,"31 x 16,5 x 9 cm",Velcro / Polar fleece 165g/m2
1923,Fleece blanket,60 x 50 ,,"35 x 25 x 4,5 cm",Nylon / Fleece 150g/m2
1987,Key holder with coin (€0.50 size),35 x 18,,"6,8 x 2,9 x 0,8 cm",PS / Metal
1991,Bottle opener with LED light,25 x 20  ,33 x 28,"7,2 x 3,9 x 0,8 cm",Plastic / Metal
1992,Key holder with a light,40 x 12,20 x 10,"6 x 2,4 x 0,6 cm",ABS / Metal
2019,Ballpen with card barrel,40 x 20,,"ø 1 x 13,8 cm",Cardboard / ABS / ABS / ABS
2055,Metal ballpen ,30 x 6,,"17,6 x 7,2 x 2,9 cm",Cardboard / EVA / Copper / Metal
2057,Metal ballpen and rollerpen,30 x 6 ,,"17,6 x 7,2 x 2,9 cm",Cardboard / EVA / Copper / Metal
2063,Digital weather station,40 x 10,,"8,5 x 13,3 x 2,4 cm",HIPS / HIPS / LCD / HIPS
2091,Solar charger. ,35 x 60,,"5,1 x 10,2 x 1,2 cm",ABS / Metal / PVC
2126,Non-woven 80 gr/m2 foldable car organizer. ,95 x 100,,28 x 34 x 24 cm,Cardboard / Non woven 80gr
2127,ECO Non-woven pencil case with contents.,70 x 20,,"10 x 24 x 0,2 cm",Pinewood / Non woven 80gr / paper 70 gsm / Cardboard 250 gsm
2128,Cooler bag with a plastic lunch box. ,70 x 20,90 x 35,"17 x 25 x 7,5 cm",Plastic
2130,"House tape measure, 2m",32 x 22 ,,"5,2 x 4,8 x 1,2 cm",ABS / Steel 60C
2131,"Tape measure, 1.5m",30 x 20,,"7,1 x 4,8 x 1,7 cm",ABS / Metal
2132,Kitchen set. ,70 x 70,50 x 8,"29 x 13 x 2,2 cm",Silicone
2138,Garden set.,n/a,,"37 x 17 x 4,5 cm",EVA
2139,Pom-Pom with coloured bands of foil. ,50 x 20,,"40 x 15 x 2,7 cm",Plastic
2140,Laptop bag made from 600D polycanvas.,200 x 60,,33 x 23 x 5 cm,Polycanvas 600D
2146,Plastic breakfast mug. 350ml,27 x 8,30 x 10,"ø 9 x 16,2 cm",PS / PP / Silicone
2147,"Tape measure, 2m",30 x 25,,8 x 6 x 3 cm,ABS / Metal / Paper
2151,Aluminium torch in shape of a baseball bat.,100 x 10,,ø 4 x 36 cm,Aluminium
2153,6.3 litre glass drink dispenser. ,n/a,,"ø 22 x 44,5 cm",ABS / Glass / Iron
2183,Charles Dickens® ballpen. ,45 x 8,25 x 50 ,"18 x 5,5 x 3,1 cm",ABS / Aluminium / Paper / Copper / Nickel
2189,Patterned or silver tin.,50 x 50,,"ø 10 x 8,5 cm",Tin
2199,Mini tool set,70 x 12 ,,"2,5 x 2 x 14 cm",ABS / Steel
2211,"Light ballpen, blue ink",27 x 10,,"ø 1,5 x 14,7 cm",Plastic / Copper
2224,Eight delicious Dutch waffles. ,n/a,,"ø 8,1 x 7 cm",Treacle waffle
2225,Drawing set,45 x 15 ,,"18 x 7,5 x 1,3 cm",Acrylic / Cardboard / Metal / Paper / Wax
2226,Art set,35 x 30,,"12,5 x 14,5 x 1,5 cm",Cardboard / Plastic / Aquarelle paint / Lime tree
2237,Plastic foldable desk light. ,50 x 35,,"19 x 11 x 1,5 cm",PC
2278,PU notebook with matching colour ribbon marker.,60 x 35,,"21 x 15,5 x 1 cm",PU / paper 70 gsm
2280,Silicone wristband in vibrant colours ,15 x 8,,"ø 6 x 1,3 cm",Metal / Silicone
2284,350ml Protein shaker.,30 x 60,,"ø 9,9 x 23 cm",PE / PP
2287,340ml Transparent coloured plastic mug. ,30 x 60,,"ø 9,6 x 20 cm",PS / PP / PS / Silicone
2289,Pair of earphones.,35 x 20,,"6,9 x 6,9 x 1,8 cm",ABS / PVC / PS / Silicone
2314,"Bag with long handles, Colours",250 x 250 ,,"42 x 38 x 0,1 cm",Cotton 110/gr m2
2315,"Bag with short handles, Natural",250 x 250 ,,"40 x 37 x 0,1 cm",Cotton 110/gr m2
2318,Dutch stroop caramel waffles. ,50 x 50,,"ø 10 x 8,5 cm",Tin
2324,24 mind games,25 x 25 ,,"26 x 17 x 4,3 cm",Cardboard / Metal / PS
2326,Wallet with two decks of cards,100 x 50,,"10,7 x 16,9 x 2,9 cm",Paper / Wood / Nylon / Paper
2331,Skipping rope with a counting LCD display.,35 x 15,,"ø 3,3 x 18,2 cm",ABS
2342,"Bag with long handles, Natural",250 x 250,,"42 x 38 x 0,1 cm",Cotton 110/gr m2
2346,"Football game, self assembly ",150 x 30,,"50,3 x 31,3 x 9,5 cm",Plastic / MDF / Plastic / Iron
2350,"Key holder, €1 trolley disc ",20 x 20,,"10,3 x 5,3 x 1,3 cm",Metal / Zinc alloy / Iron
2372,Shirt  inserts for item 5157,n/a,,"4,2 x 5 cm",Paper
2373,Square inserts for item 2401,n/a,,3 x 4 cm,Paper
2376,Round inserts for item 5159,n/a,,"ø 3,7 cm",Paper
2398,Key holder with LED light,20 x 15,,"3,2 x 1,2 x 5,5 cm",ABS / Metal
2401,"Key ring, unassembled only",n/a,,"4,2 x 9 x 0,6 cm",Plastic Crystal 1840 / Metal
2411,Small push button torch ,15 x 10 ,,"ø 2,1 x 4,8 cm",ABS / Acrylic / Steel
2413,Plastic set square.,50 x 20,,"16 x 8 x 0,1 cm",PS
2414,Plastic alcohol tester on a key chain.,25 x 15,,"3,9 x 7,1 x 1,9 cm",ABS / Metal / LED / ABS / Iron
2419,Key chain with light,20 x 12,20 x 7,"3,1 x 9,9 x 0,9 cm",ABS / Metal
2425,Plastic pen set.,40 x 30,,"6 x 14 x 1,3 cm",ABS / Metal
2430,Ballpen with black ink and rubber tip. ,40 x 8 ,,"ø 1,3 x 13,3 cm",ABS / Metal / Rubber
2432,Six colour pencil set ,35 x 50,,"4,5 x 9 x 0,9 cm",Cardboard / Lime tree
2437,Black Swan plastic ballpen with black ink. ,35 x 20,35 x 7,"ø 1,3 x 14,7 cm",ABS
2438,"Art set, 56p",n/a,,"19,6 x 17 x 10 cm",Cardboard / Plastic / Wax / Beechwood / Paper
2442,White Swan ballpen with black ink.,35 x 20 ,35 x 7,"ø 1,3 x 14,7 cm",ABS
2460,Witch pencil,40 x 8,,ø 2 x 22 cm,Wood / Cotton
2468,Twelve colour pencil set,50 x 30,,"9 x 8,6 x 1 cm",Cardboard / Lime tree
2474,Coloured pencil set ,50 x 50,,"9,5 x 18 x 1 cm",Cardboard / Lime tree
2478,Flower ballpen,40 x 8,,"ø 1,3 x 15,5 cm",Wood
2495,12 Colour pencils with sharpener,40 x 17,40 x 70,"ø 3,5 x 10,5 cm",ABS / Metal / Lime tree / Cardboard
2497,6 Colour pencils with sharpener,40 x 14,40 x 50,"ø 2,4 x 10 cm",ABS / Metal / Lime tree / Cardboard
2498,Animal ballpen,40 x 8,,"ø 1,5 x 15 cm",Wood / Iron
2520,Plastic sandwich shaped lunch box,55 x 55,,"12,9 x 12,4 x 4,6 cm",PP
2532,Christmas stuffed animal with blanket ,n/a,,"15 x 16,5 x 25 cm","Polyester 100%, Fleece 180g/m2"
2540,Plastic key holder compass.,20 x 20,40 x 20,"8,8 x 3 x 1 cm",Plastic / Metal
2541,"Pencil, unsharpened",45 x 15,50 x 6,"ø 0,7 x 19,1 cm",Metal / Rubber / Lime tree
2544,Key holder with compass,25 dia,,ø 4 x 1 cm,ABS / Metal / Iron
2545,School set ,90 x 15,,"21 x 4,2 x 3,1 cm",Plastic / Metal / Pinewood
2546,Domino game.,70 x 20 ,,"15 x 5,1 x 3,2 cm",Firewood
2548,Mikado game in wooden box,70 x 20,,"19,3 x 4,3 x 2,5 cm",Pinewood / Polywood
2553,Games set,70 x 25,,"10,5 x 9,8 x 4 cm",MDF / Hardwood / Paper
2555,Wooden yo-yo,40 dia,,"ø 5,4 x 2,7 cm",Pinewood
2573,Foldable car organizer. ,120 x 80,,32 x 26 x 4 cm,Metal / Rubber / Polyester 600D
2578,Wooden bat and ball set,150 dia,,"38 x 23,5 x 0,5 cm",Plastic / PE / MDF / Nylon
